"Bukit Panjang PO","SAM","10 Choa Chu Kang Road Track 10","1.3726","103.74325","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","",""
"Bukit Panjang Ring Road","SAM","Blk 259 Bukit Panjang Ring [Void Deck]","1.37728","103.77319","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","",""
"Bukit Timah Plaza","SAM","1 Jalan Anak Bukit Next to #B1-34 [Near escalator]","1.33881","103.77824","","1000","2200","1000","2200","1000","2200","1000","2200","1000","2200","1000","2200","1000","2200","1000","2200","",""
"Bukit Timah PO ","SAM","20 Toh Yi Drive, Bukit Timah Community Club, #02-02","1.34047","103.77171","","800","2200","800","2200","800","2200","800","2200","800","2200","800","2200","800","2200","800","2200","",""
"Bullion Park [SAMplus/Posting Box/Smart Locker]","SAM","160 Lentor Loop [near minimart / swimming pool]","1.39083","103.83703","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","",""
"Buona Vista MRT Station ","SAM","100 North Buona Vista Road [Passageway at Level 1, near escalator]","1.30746","103.78957","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","",""
"Buona Vista Service Centre (HDB)","SAM","Buona Vista Community Club 36 Holland Drive #01-11","1.30904","103.79269","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","",""
"Cathay Cineleisure Orchard","SAM","8 Grange Road, [Level 1 near Lift Lobby]","1.30164","103.8364","","1000","2200","1000","2200","1000","2200","1000","2200","1000","2200","1000","2200","1000","2200","1000","2200","",""
"Central Public Library","SAM","100 Victoria Street [Level 1, behind Book Drop Area]","1.29753","103.85423","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","",""
"Centrepoint Shopping Centre","SAM","176 Orchard Road, Basement 1 [At ATM Auto Lobby]","1.30137","103.84001","","1000","2200","1000","2200","1000","2200","1000","2200","1000","2200","1000","2200","1000","2200","1000","2200","",""
"Century Sq Shopping Centre","SAM","2 Tampines Central 5 Century Square Shopping Centre, (Outside building, along covered walkway)","1.35236","103.94379","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","",""
"Chai Chee Road","SAM","Blk 26 Chai Chee Road [pillar near Lift Lobby B / letter boxes]","1.32331","103.92362","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","",""
"Change Alley PO - 1 [Weighing Scale]","SAM","16 Collyer Quay #02-02 Hitachi Tower","1.28389","103.85251","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","",""
"Change Alley PO - 2","SAM","16 Collyer Quay #02-02 Hitachi Tower","1.28389","103.85251","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","",""
"Changi Airport T1 [Weighing Scale]","SAM","Departure Hall #02-K34 [end of Row 10, next to escalator]","1.35397","103.98694","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","",""
"Changi Airport T2 PO","SAM","Terminal 2 Departure Hall Unit #026-39","1.35608","103.98935","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","",""
"Changi Airport T3","SAM","Departure Hall, Basement 2 SOUTH [Outside NTUC Fairprice @ AutoLobby]","1.36123","103.99027","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","",""
"Changi Business Park","SAM","15A Changi Business Park Central 1, Eightrium Level 1 (Office Lobby Area)","1.33758","103.96461","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","",""
"Changi General Hospital","SAM","2 Simei Street 3 [outside 7-Eleven unit L1-05]","1.34069","103.94935","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","",""
"Chevron House","SAM","30 Raffles Place [Auto Lobby, near lift]","1.28419","103.85195","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","",""
"Chinatown NEL Station ","SAM","151 New Bridge Road Concourse Level, Basement 1","1.28391","103.84334","","630","2330","630","2330","630","2330","630","2330","630","2330","630","2330","630","2330","630","2330","",""
"Chinatown Post Office","SAM","101 Upper Cross Street #B1-17A People's Park Center","1.28568","103.84395","","1000","2200","1000","2200","1000","2200","1000","2200","1000","2200","1000","2200","1000","2200","1000","2200","",""
"Choa Chu Kang Avenue 2 ","SAM","Blk 254 Choa Chu Kang Avenue 2 [beside Keat Hong Shopping Centre]","1.37819","103.74398","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","",""
"Choa Chu Kang Avenue 4, Blk 303 ","SAM","Blk 303 Choa Chu Kang Ave 4, [outside 7-eleven]","1.38455","103.7438","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","",""
"Choa Chu Kang Bus In'tchge","SAM","301 Choa Chu Kang Ave 4","1.38534","103.74374","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","",""
"Choa Chu Kang Central PO [Weighing Scale]","SAM","Blk 309 Choa Chu Kang Avenue 4 #01-03 Choa Chu Kang Centre","1.38497","103.7458","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","",""
"Choa Chu Kang MRT Station ","SAM","10 Choa Chu Kang Avenue 4 [Passageway facing Lot 1 Shopping Ctr]","1.3841","103.7436","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","",""
"City Hall MRT Station","SAM","150 North Bridge Road Concourse Level","1.29299","103.85254","","630","2330","630","2330","630","2330","630","2330","630","2330","630","2330","630","2330","630","2330","",""
"City Square Mall","SAM","180 Kitchener Road, [Basement 2]","1.31169","103.85564","","1000","2200","1000","2200","1000","2200","1000","2200","1000","2200","1000","2200","1000","2200","1000","2200","",""
"Clementi Avenue 3 ","SAM","Blk 451 Clementi Avenue 3","1.31265","103.76568","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","",""
"Clementi Central PO - 1 ","SAM","Blk 443 Clementi Avenue 3 #01-65/67","1.31423","103.76403","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","",""
"Clementi Central PO - 2","SAM","Blk 443 Clementi Avenue 3 #01-65/67","1.31423","103.76403","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","",""
"Clementi HDB Branch Office","SAM","Blk 453 Clementi Ave 3","1.31211","103.76576","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","",""
"Clementi MRT Station","SAM","3150 Commonwealth Avenue West [Concourse level near to ATM]","1.31523","103.76517","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","",""
