"Lucky Plaza","Post Office","304 Orchard Road #02-29 Lucky Plaza","1.30449","103.83377","","1030","1830","1030","1830","1030","1830","1030","1830","1030","1830","1030","1600","1030","1600","1030","1600","[""ICA Application"",""POSB Withdrawal and Deposit Services"",""Remittance Service""]","Lucky Plaza Post Office"
"Macpherson Road","Post Office","70 Macpherson Road","1.32839","103.87138","","830","1700","830","1700","830","1700","830","1700","830","1700","830","1300","Closed","Closed","Closed","Closed","[""ICA Application"",""POSB Withdrawal and Deposit Services"",""Care for Life"",""ezyCash"",""Remittance Service""]","Macpherson Post Office"
"Marine Parade","Post Office","Blk 86 Marine Parade Central #01-670","1.30173","103.90674","","830","1700","830","1700","830","2000","830","1700","830","1700","830","1300","Closed","Closed","Closed","Closed","[""ICA Application"",""Collection of ICA Documents"",""POSB Withdrawal and Deposit Services"",""Care for Life"",""ezyCash"",""Remittance Service""]","Marine Parade Post Office"
"Newton","Post Office","135 Bukit Timah Rd #01-01 POSB Newton Branch Bldg","1.31041","103.84363","","830","1700","830","1700","830","1700","830","1700","830","1700","830","1300","Closed","Closed","Closed","Closed","[""ICA Application"",""POSB Withdrawal and Deposit Services"",""Remittance Service""]","Newton Post Office"
"Novena","Post Office","55 Newton Road #01-02 Revenue House","1.31911","103.8422","","800","1730","800","1730","800","1730","800","1730","800","1730","800","1300","Closed","Closed","Closed","Closed","[""ICA Application"",""POSB Withdrawal and Deposit Services"",""Care for Life"",""Remittance Service""]","Novena Post Office"
"Orchard","Post Office","2 Orchard Turn #B2 -62 ION Orchard","1.30425","103.83217","","1100","1900","1100","1900","1100","1900","1100","1900","1100","1900","1100","1900","1100","1900","Closed","Closed","[""ICA Application"",""Collection of ICA Documents"",""POSB Withdrawal and Deposit Services"",""Care for Life"",""Remittance Service""]","Orchard Post Office"
"Pasir Panjang","Post Office","396 Pasir Panjang Road","1.29148","103.77116","","830","1700","830","1700","830","1700","830","1700","830","1700","830","1300","Closed","Closed","Closed","Closed","[""ICA Application"",""POSB Withdrawal and Deposit Services"",""Remittance Service""]","Pasir Panjang Post Office"
"Pasir Ris Central","Post Office","1 Pasir Ris Central Street 3 #04-13 White Sands","1.37244","103.94986","","930","1800","930","1800","930","1800","930","1800","930","1800","930","1500","Closed","Closed","Closed","Closed","[""ICA Application"",""Collection of ICA Documents"",""POSB Withdrawal and Deposit Services"",""Care for Life"",""ezyCash"",""Remittance Service""]","Pasir Ris Post Office"
"Pioneer Road","Post Office","51 Soon Lee Road #01-13/14/15","1.33194","103.69893","","1630","2200","1630","2200","1630","2200","1630","2200","1630","2200","1430","2130","1030","2130","1030","2130","[""ICA Application"",""POSB Withdrawal and Deposit Services"",""Remittance Service""]","Pioneer Road Post Office"
"Punggol","Post Office","80 Punggol Field #B1-01 Punggol 21 Community Club","1.39347","103.91368","","1030","1900","1030","1900","1030","1900","1030","1900","1030","1900","930","1330","Closed","Closed","Closed","Closed","[""ICA Application"",""Collection of ICA Documents"",""POSB Withdrawn and Deposit Services"",""Care for Life"",""ezyCash"",""Remittance Services""]","Punggol Post Office"
"Robinson Road","Post Office","79 Robinson Road #01-06 CPF Building","1.27725","103.84801","","830","1800","830","1800","830","1800","830","1800","830","1800","830","1300","Closed","Closed","Closed","Closed","[""ICA Application"",""POSB Withdrawal and Deposit Services"",""Care for Life"",""Remittance Service""]","Robinson Road Post Office"
"Rochor","Post Office","Blk 1 Rochor Road #01-560","1.30207","103.85504","","830","1700","830","1700","830","1700","830","1700","830","1700","830","1300","Closed","Closed","Closed","Closed","[""ICA Application"",""POSB Withdrawal and Deposit Services"",""Care for Life"",""ezyCash"",""Remittance Service""]","Rochor Post Office"
"Sengkang Central","Post Office","2 Sengkang Square #03-01 Sengkang Community Hub","1.39274","103.89426","","830","1700","830","1700","830","2000","830","1700","830","1700","830","1300","Closed","Closed","Closed","Closed","[""ICA Application"",""Collection of ICA Documents"",""POSB Withdrawal and Deposit Services"",""Care for Life"",""ezyCash"",""Remittance Service""]","Sengkang Central Post Office"
"Serangoon Central","Post Office","Blk 261 Serangoon Central Dr #01-05/07","1.35394","103.87235","","830","1700","830","1700","830","1700","830","1700","830","1700","830","1300","Closed","Closed","Closed","Closed","[""ICA Application"",""Collection of ICA Documents"",""POSB Withdrawal and Deposit Services"",""Care for Life"",""Remittance Service""]","Serangoon Central Post Office"
"Serangoon Garden","Post Office","54 Serangoon Garden Way","1.36385","103.86672","","830","1700","830","1700","830","1700","830","1700","830","1700","830","1300","Closed","Closed","Closed","Closed","[""ICA Application"",""POSB Withdrawal and Deposit Services"",""Remittance Service""]","Serangoon Garden Post Office"
